"Team","First_Season","Last_Season","Number_Of_Seasons","Games_Played","Wins","Losses","Ties","Winning_Pct","Bowl_Games_Played","Bowl_Wins","Bowl_Losses","Bowl_Ties","Bowl_Winning_Pct","Simple_Rating_System","Strength_Of_Schedule","Number_Of_Seasons_Ranked_In_AP_Final_Poll","Conference_Championships","Notes"
"illinois-state",1975,"1985",11,119,41,73,5,0.366,0,0,0,0,0,-15.36,-11.09,0,0,""
"indiana",1899,"2021",124,1193,475,673,38,0.417,13,3,10,0,0.231,2.05,4.58,6,2,"record adjusted to 476-672-38 by NCAA"
"indiana-state",1975,"1985",11,120,60,59,1,0.504,0,0,0,0,0,-10.06,-9.71,0,0,""
"iowa",1899,"2021",124,1226,645,539,34,0.544,34,17,16,1,0.515,6.83,5.16,26,11,"record adjusted to 646-538-34 by NCAA"
"iowa-pre-flight",1942,"1944",3,31,26,5,0,0.839,0,0,0,0,0,18.05,5.72,2,0,""
"iowa-state",1895,"2021",125,1238,534,657,45,0.45,17,5,12,0,0.294,0.21,1.41,3,2,"record adjusted to 535-656-45 by NCAA"
"jackson-state",1977,"1977",1,11,8,3,0,0.727,0,0,0,0,0,-1.31,-10.4,0,0,""
"jacksonville-naval-air-station",1942,"1942",1,12,9,3,0,0.75,0,0,0,0,0,6.46,-3.13,0,0,""
"kansas",1901,"2021",122,1232,532,645,54,0.454,12,6,6,0,0.5,0.81,2.45,7,5,""
"kansas-state",1912,"2021",111,1142,491,616,35,0.445,23,10,13,0,0.435,-0.34,1.93,13,3,"record adjusted to 492-616-34 by NCAA"
"kent-state",1962,"2021",61,666,220,439,5,0.335,4,1,3,0,0.25,-12.39,-6.69,0,1,""
"kentucky",1915,"2021",107,1116,514,566,36,0.477,21,12,9,0,0.571,3.85,3.97,10,2,"record adjusted to 515-565-36 by NCAA"
"knox",1899,"1905",5,52,27,23,2,0.538,0,0,0,0,0,-1.9,-3.67,0,0,""
"lafayette",1882,"1946",47,440,256,160,24,0.609,0,0,0,0,0,1.07,-2.53,0,0,""
"lake-forest",1893,"1899",5,47,17,24,6,0.426,0,0,0,0,0,-7.97,-3.29,0,0,""
"lamar",1973,"1981",9,97,33,60,4,0.361,0,0,0,0,0,-12.77,-7.68,0,0,""
"lawrence",1905,"1905",1,10,7,3,0,0.7,0,0,0,0,0,3.09,-1.91,0,0,""
"lehigh",1884,"1965",43,412,195,197,20,0.498,0,0,0,0,0,-2.98,-2.44,0,0,""
"liberty",2018,"2021",5,49,32,17,0,0.653,3,3,0,0,1,-2.36,-7.73,1,0,""
"lombard",1903,"1903",1,8,5,3,0,0.625,0,0,0,0,0,-2.35,-2.72,0,0,""
"long-beach-state",1969,"1991",23,257,129,126,2,0.506,1,0,0,1,0.5,-7.67,-7.16,0,3,"record adjusted to 130-125-2 by NCAA"
"louisiana-lafayette",1973,"2021",50,566,260,301,5,0.464,9,7,2,0,0.778,-8.51,-5.96,2,6,"record adjusted to 238-301-5 by NCAA"
"louisiana-monroe",1975,"2021",36,404,143,259,2,0.356,1,0,1,0,0,-11.66,-5.46,0,1,""
"louisiana-state",1902,"2021",118,1256,793,414,47,0.651,53,28,24,1,0.538,9.92,4.5,42,12,"record adjusted to 795-412-47 by NCAA"
"louisiana-tech",1975,"2021",42,482,247,228,7,0.52,13,8,4,1,0.654,-4.08,-4.73,0,4,"record adjusted to 248-227-7 by NCAA"
"louisville",1962,"2021",61,692,367,317,7,0.536,23,10,12,1,0.457,-0.83,-1.91,11,8,"record adjusted to 369-315-7 by NCAA"
"loyola-la",1934,"1936",3,28,10,17,1,0.375,0,0,0,0,0,-6.61,-3.13,0,0,""
"loyola-marymount",1933,"1951",13,127,66,57,4,0.535,0,0,0,0,0,-2.09,-4.02,0,0,""
"lubbock-field",1944,"1944",1,9,5,4,0,0.556,0,0,0,0,0,-1.45,-3.01,0,0,""
"maine",1904,"1905",2,16,8,7,1,0.531,0,0,0,0,0,-0.56,-0.88,0,0,""
"manhattan",1936,"1942",7,63,30,31,2,0.492,0,0,0,0,0,-0.84,0.07,0,0,""
"march-field",1943,"1944",2,21,16,3,2,0.81,0,0,0,0,0,5.33,-5.69,2,0,""
"mare-island-marines",1917,"1918",2,19,18,1,0,0.947,2,1,1,0,0.5,13.72,-5.57,0,0,""
"marquette",1927,"1960",34,306,131,160,15,0.453,1,0,1,0,0,-0.76,0.34,1,0,""
"marshall",1962,"2021",46,524,246,273,3,0.474,17,12,5,0,0.706,-8.09,-6.13,3,6,""
"maryland",1917,"2021",106,1124,569,524,30,0.52,28,12,14,2,0.464,2.38,1.8,18,11,""
"maryville-tn",1906,"1907",2,13,3,8,2,0.308,0,0,0,0,0,-9.89,0.71,0,0,""
"massachusetts",1882,"2021",25,228,67,155,6,0.307,0,0,0,0,0,-11.05,-3.84,0,0,""
"mcneese-state",1975,"1981",7,82,57,21,2,0.725,3,1,2,0,0.333,-1.17,-7.87,0,3,""
"memphis",1960,"2021",63,698,340,349,8,0.494,13,5,8,0,0.385,-1.04,-1.62,3,5,"record adjusted to 341-348-8 by NCAA"
"mercer",1909,"1936",15,138,56,73,9,0.438,0,0,0,0,0,-3.92,-2.03,0,0,""
"merchant-marine",1945,"1947",3,30,11,19,0,0.367,0,0,0,0,0,-13.91,-8.35,0,0,""
"miami-fl",1936,"2021",86,956,602,340,12,0.637,41,19,22,0,0.463,8.83,3.61,33,9,""
"miami-oh",1962,"2021",61,676,367,291,15,0.556,11,6,5,0,0.545,-3.7,-5.91,4,10,"record adjusted to 368-290-15 by NCAA"
"michigan",1881,"2021",133,1351,950,344,35,0.728,49,21,28,0,0.429,13.7,5.08,62,43,""
"michigan-state",1918,"2021",98,1031,598,390,30,0.602,30,14,16,0,0.467,9.16,4.86,28,9,"record adjusted to 593-395-30 by NCAA"
"middle-tennessee-state",1999,"2021",24,278,135,143,0,0.486,9,3,6,0,0.333,-6.73,-5.89,0,2,""
"millsaps",1924,"1924",1,9,3,5,1,0.389,0,0,0,0,0,-10.12,-7.78,0,0,""
"minnesota",1892,"2021",131,1269,702,523,42,0.571,22,10,12,0,0.455,8.25,4.9,15,18,""
"mississippi",1902,"2021",117,1220,660,521,34,0.557,39,25,14,0,0.641,4.88,2.84,26,6,"record adjusted to 631-517-34 by NCAA"
"mississippi-college",1911,"1924",10,81,38,37,6,0.506,0,0,0,0,0,-3.35,-2.44,0,0,""
"mississippi-state",1902,"2021",118,1195,589,568,37,0.509,25,14,11,0,0.56,3.43,3.04,14,1,"record adjusted to 572-586-36 by NCAA"
"mississippi-valley-state",1977,"1977",1,10,5,5,0,0.5,0,0,0,0,0,-11.39,-10.79,0,0,""
"missouri",1901,"2021",121,1245,646,549,50,0.539,34,15,19,0,0.441,4.75,3.19,18,12,"record adjusted to 648-547-50 by NCAA"
"mit",1882,"1899",12,77,27,48,2,0.364,0,0,0,0,0,-5.2,0.64,0,0,""
"montana",1917,"1962",38,332,123,199,10,0.386,0,0,0,0,0,-8.86,-4.6,0,0,""
"montana-state",1923,"1947",17,140,65,66,9,0.496,1,0,0,1,0.5,-7.34,-6.98,0,2,""
"nashville",1904,"1904",1,9,1,7,1,0.167,0,0,0,0,0,-6.15,4.4,0,0,""
"navy",1891,"2021",129,1316,696,566,52,0.549,24,12,11,1,0.521,3.95,1.42,14,0,""
"nebraska",1900,"2021",123,1307,873,384,38,0.689,53,26,27,0,0.491,10.67,3.77,48,43,"record adjusted to 874-384-37 by NCAA"
"nevada",1946,"2021",36,415,228,187,0,0.549,19,7,12,0,0.368,-3.57,-5.64,1,7,""
"nevada-las-vegas",1978,"2021",45,509,185,320,3,0.367,4,3,1,0,0.75,-9.63,-3.92,0,1,"record adjusted to 167-338-3 by NCAA"
"new-hampshire",1904,"1905",2,15,4,9,2,0.333,0,0,0,0,0,-10.04,-4.12,0,0,""
"new-mexico",1931,"2021",91,979,405,558,17,0.422,12,4,7,1,0.375,-6.83,-4,0,4,""
"new-mexico-state",1931,"2021",89,933,319,600,14,0.349,4,3,0,1,0.875,-13.34,-7.74,1,4,"record adjusted to 320-599-14 by NCAA"
"new-york-university",1927,"1952",24,205,97,99,9,0.495,0,0,0,0,0,-4.24,-3.23,0,0,""
"newberry",1914,"1925",11,86,34,48,4,0.419,0,0,0,0,0,-9.95,-5.22,0,0,""
"norman-naval-air-station",1944,"1944",1,6,6,0,0,1,0,0,0,0,0,18.01,3.51,1,0,""
"north-carolina",1902,"2021",119,1251,668,531,48,0.555,36,15,21,0,0.417,4.73,2.84,17,7,"record adjusted to 652-531-48 by NCAA"
"north-carolina-pre-flight",1942,"1943",2,18,10,6,2,0.611,0,0,0,0,0,3.2,2,0,0,""
"north-carolina-state",1902,"2021",117,1214,597,570,46,0.511,33,17,15,1,0.53,1.65,1.32,14,7,""
"north-texas",1953,"2021",58,633,272,351,11,0.438,11,2,9,0,0.182,-8.01,-5.2,0,9,"record adjusted to 275-348-11 by NCAA"
"northern-arizona",1931,"1952",19,152,49,91,12,0.362,0,0,0,0,0,-17.76,-11.75,0,0,""
"northern-colorado",1923,"1937",15,115,51,57,7,0.474,0,0,0,0,0,-10.73,-9.63,0,1,""
"northern-illinois",1968,"2021",55,625,303,318,4,0.488,14,4,10,0,0.286,-7.96,-6.75,1,6,""
"northwestern",1892,"2021",129,1270,548,679,40,0.448,16,6,10,0,0.375,2.92,5.44,13,8,"record adjusted to 549-678-40 by NCAA"
"northwestern-state",1976,"1979",4,41,19,22,0,0.463,0,0,0,0,0,-12.36,-8.13,0,0,""
"notre-dame",1899,"2021",116,1222,873,316,33,0.728,40,19,21,0,0.475,14.77,6.09,57,0,"record adjusted to 852-316-33 by NCAA"
"oglethorpe",1919,"1925",7,69,31,35,3,0.471,0,0,0,0,0,-3.68,-1.98,0,0,""
"ohio",1962,"2021",61,675,293,373,9,0.441,13,5,8,0,0.385,-8.65,-6.65,1,3,""
